Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
SR-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only supply chain risk management policy)
Removed ODP to assign ""personnel or roles""",
SR-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] supply chain risk management policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
SR-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
SR-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
SR-01-00-05,2. Procedures to facilitate the implementation of the supply chain risk management policy and the associated supply chain risk management controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only supply chain risk management procedures),
SR-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the supply chain risk management policy and procedures; and",NCO, ,—,,
SR-01-00-07,c. Review and update the current supply chain risk management:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only supply chain risk management),
SR-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SR-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SR-02-00-00,SR-2  Supply Chain Risk Management Plan,CUI,03-17-01:,3.17.1  Supply Chain Risk Management Plan,,
SR-02-00-01,"a. Develop a plan for managing supply chain risks associated with the research and development, design, manufacturing, acquisition, delivery, integration, operations and maintenance, and disposal of the following systems, system components or system services  [Assignment: organization-defined systems, system components, or system services];",CUI,03-17-01a.,"3.17.1a. Develop a plan for managing supply chain risks associated with the development, manufacturing, acquisition, delivery, operations, maintenance, and disposal of the system, system components, or system services.","Removed ODP to assign ""systems, system components, or system services""",
SR-02-00-02,"b. Review and update the supply chain risk management plan [Assignment: organization-defined frequency] or as required, to address threat, organizational or environmental changes; and",CUI,03-17-01b.,3.17.1b. Review and update the plan [Assignment: organization-defined frequency].,"Removed clause ""or as required, to address threat, organizational or environmental changes""",
SR-02-00-03,c. Protect the supply chain risk management plan from unauthorized disclosure and modification.,NCO, ,—,,
SR-02-01-00,SR-2(1)  Supply Chain Risk Management Plan | Establish SCRM Team,NCO, ,—,,
SR-02-01-01,"Establish a supply chain risk management team consisting of [Assignment: organization-defined personnel, roles, and responsibilities] to lead and support the following SCRM activities  [Assignment: organization-defined supply chain risk management activities].",NCO, ,—,,
SR-03-00-00,SR-3  Supply Chain Controls and Processes,CUI,03-17-03:,3.17.3  Supply Chain Controls and Processes,,
SR-03-00-01,a. Establish a process or processes to identify and address weaknesses or deficiencies in the supply chain elements and processes of [Assignment: organization-defined system or system component] in coordination with [Assignment: organization-defined supply chain personnel];,CUI,03-17-03a.,3.17.3a. Establish a process or processes for identifying and addressing weaknesses or deficiencies in the supply chain elements and processes.,"Removed ODP to assign ""system or system component""
Removed clause ""in coordination with""
Removed ODP to assign ""supply chain personnel""",
SR-03-00-02,"b. Employ the following controls to protect against supply chain risks to the system, system component, or system service and to limit the harm or consequences from supply chain-related events  [Assignment: organization-defined supply chain controls]; and",CUI,03-17-03b.,"3.17.3b. Employ the following controls to protect against supply chain risks to the system, system component, or system service and to limit the harm or consequences from supply chain-related events  [Assignment: organization-defined supply chain controls].",,
SR-03-00-03,c. Document the selected and implemented supply chain processes and controls in [Selection: security and privacy plans; supply chain risk management plan; [Assignment: organization-defined document]].,NCO, ,—,,
SR-05-00-00,"SR-5  Acquisition Strategies, Tools, and Methods",CUI,03-17-02:,"3.17.2  Acquisition Strategies, Tools, and Methods",,
SR-05-00-01,"Employ the following acquisition strategies, contract tools, and procurement methods to protect against, identify, and mitigate supply chain risks  [Assignment: organization-defined acquisition strategies, contract tools, and procurement methods].",CUI,03-17-02.,"3.17.2. Develop and implement acquisition strategies, contract tools, and procurement methods to protect against, identify, and mitigate supply chain risks.","Removed ODP to assign ""acquisition strategies, contract tools, and procurement methods""",
SR-06-00-00,SR-6  Supplier Assessments and Reviews,CUI,03-11-01:,3.11.1  Risk Assessment,,
SR-06-00-01,"Assess and review the supply chain-related risks associated with suppliers or contractors and the system, system component, or system service they provide [Assignment: organization-defined frequency].",CUI,03-11-01.a,"3.11.1.a. Assess the risk (including supply chain risk) of unauthorized disclosure resulting from the processing, storage, or transmission of CUI.
3.11.1.b. Update risk assessments [Assignment: organization-defined frequency].",,
SR-08-00-00,SR-8  Notification Agreements,NCO, ,—,,
SR-08-00-01,"Establish agreements and procedures with entities involved in the supply chain for the system, system component, or system service for the [Selection (one or more): notification of supply chain compromises; results of assessments or audits; [Assignment: organization-defined information]].",NCO, ,—,,
SR-10-00-00,SR-10  Inspection of Systems or Components,NCO, ,—,,
SR-10-00-01,"Inspect the following systems or system components [Selection (one or more): at random; at [Assignment: organization-defined frequency], upon [Assignment: organization-defined indications of need for inspection]   ] to detect tampering  [Assignment: organization-defined systems or system components].",NCO, ,—,,
SR-11-00-00,SR-11  Component Authenticity,NCO, ,—,,
SR-11-00-01,a. Develop and implement anti-counterfeit policy and procedures that include the means to detect and prevent counterfeit components from entering the system; and,NCO, ,—,,
SR-11-00-02,b. Report counterfeit system components to [Selection (one or more): source of counterfeit component;[Assignment: organization-defined external reporting organizations];  [Assignment: organization-defined personnel or roles]].,NCO, ,—,,
